freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.480e+02,8.558e+01,1.454e+02,3.790e+02
1.5,9.885e+01,8.569e+01,1.211e+02,3.057e+02
3.1,3.023e+01,8.019e+01,5.188e+01,1.623e+02
4.6,3.366e+02,9.051e+01,5.733e+01,4.844e+02
6.1,1.209e+03,7.503e+01,6.087e+01,1.345e+03
7.7,1.956e+03,4.928e+01,6.013e+01,2.066e+03
9.2,2.772e+03,2.731e+01,6.871e+01,2.868e+03
10.7,3.750e+03,2.199e+01,7.414e+01,3.846e+03
12.2,4.889e+03,2.302e+01,8.289e+01,4.995e+03
13.8,6.218e+03,2.501e+01,7.293e+01,6.316e+03
15.3,7.855e+03,2.293e+01,1.171e+02,7.995e+03
16.8,1.006e+04,2.605e+01,1.452e+02,1.023e+04
18.4,1.210e+04,3.875e+01,9.727e+01,1.224e+04
19.9,1.425e+04,5.450e+01,9.771e+01,1.440e+04
21.4,1.621e+04,9.624e+01,1.701e+02,1.648e+04
23.0,1.848e+04,3.066e+02,3.694e+02,1.916e+04
24.5,2.111e+04,1.086e+03,5.919e+02,2.279e+04
26.0,2.488e+04,3.009e+03,6.399e+02,2.853e+04
27.6,2.913e+04,7.388e+03,7.800e+02,3.730e+04
29.1,3.103e+04,9.395e+03,1.208e+03,4.163e+04
30.6,3.253e+04,1.022e+04,2.176e+03,4.493e+04
32.2,3.701e+04,1.892e+04,6.752e+03,6.268e+04
33.7,4.560e+04,2.777e+04,1.310e+04,8.647e+04
35.2,5.800e+04,2.661e+04,1.439e+04,9.901e+04
36.7,7.293e+04,2.268e+04,1.369e+04,1.093e+05
38.3,8.966e+04,2.174e+04,1.443e+04,1.258e+05
39.8,1.052e+05,2.805e+04,2.051e+04,1.537e+05
41.3,8.234e+04,2.655e+04,2.152e+04,1.304e+05
42.9,7.453e+04,7.899e+03,7.838e+03,9.026e+04
44.4,1.090e+05,3.559e+03,4.106e+03,1.166e+05
45.9,1.414e+05,4.895e+03,6.146e+03,1.524e+05
47.5,1.720e+05,9.375e+03,1.343e+04,1.948e+05
49.0,2.198e+05,2.175e+04,3.309e+04,2.746e+05
50.5,2.446e+05,5.512e+04,9.144e+04,3.912e+05
52.1,1.677e+05,1.236e+05,2.219e+05,5.131e+05
53.6,8.843e+04,1.958e+05,3.760e+05,6.602e+05
55.1,3.986e+04,2.887e+05,5.977e+05,9.262e+05
56.7,2.397e+04,3.943e+05,8.683e+05,1.287e+06
58.2,2.774e+04,3.974e+05,9.134e+05,1.338e+06
59.7,3.012e+04,3.713e+05,8.900e+05,1.291e+06
61.2,2.661e+04,3.090e+05,7.709e+05,1.107e+06
62.8,1.972e+04,2.052e+05,5.272e+05,7.520e+05
64.3,1.842e+04,1.269e+05,3.353e+05,4.807e+05
65.8,2.728e+04,7.913e+04,2.137e+05,3.201e+05
67.4,4.631e+04,5.039e+04,1.365e+05,2.332e+05
68.9,7.683e+04,3.154e+04,8.598e+04,1.943e+05
70.4,1.166e+05,1.933e+04,5.250e+04,1.884e+05
72.0,1.567e+05,1.260e+04,3.311e+04,2.024e+05
73.5,1.718e+05,9.114e+03,2.177e+04,2.026e+05
75.0,1.449e+05,6.902e+03,1.508e+04,1.669e+05
76.6,9.326e+04,5.169e+03,1.128e+04,1.097e+05
78.1,5.202e+04,4.359e+03,1.026e+04,6.664e+04
79.6,3.341e+04,4.663e+03,1.108e+04,4.915e+04
81.2,2.535e+04,5.170e+03,1.222e+04,4.273e+04
82.7,1.873e+04,5.478e+03,1.298e+04,3.719e+04
84.2,1.235e+04,5.850e+03,1.398e+04,3.218e+04
85.7,8.376e+03,6.183e+03,1.506e+04,2.962e+04
87.3,6.322e+03,6.198e+03,1.473e+04,2.725e+04
88.8,5.044e+03,6.242e+03,1.312e+04,2.440e+04
90.3,4.289e+03,6.085e+03,1.019e+04,2.056e+04
91.9,3.870e+03,5.946e+03,7.642e+03,1.746e+04
93.4,4.225e+03,6.534e+03,1.286e+04,2.362e+04
94.9,4.894e+03,6.703e+03,3.064e+04,4.223e+04
96.5,5.537e+03,4.056e+03,4.575e+04,5.535e+04
98.0,6.357e+03,1.868e+03,4.255e+04,5.077e+04
99.5,8.718e+03,1.947e+03,3.415e+04,4.482e+04
101.1,1.471e+04,2.370e+03,2.723e+04,4.431e+04
102.6,1.913e+04,2.372e+03,2.186e+04,4.336e+04
104.1,1.974e+04,2.175e+03,1.834e+04,4.026e+04
105.6,1.858e+04,2.511e+03,1.716e+04,3.826e+04
107.2,4.249e+04,7.570e+03,1.718e+04,6.724e+04
108.7,1.458e+05,2.678e+04,2.064e+04,1.933e+05
110.2,1.720e+05,2.714e+04,1.932e+04,2.185e+05
111.8,1.439e+05,2.134e+04,1.567e+04,1.809e+05
113.3,1.039e+05,6.038e+03,1.380e+04,1.238e+05
114.8,1.647e+05,2.337e+03,1.666e+04,1.837e+05
116.4,1.895e+05,2.313e+03,2.096e+04,2.128e+05
117.9,2.063e+05,2.285e+03,2.199e+04,2.306e+05
119.4,2.258e+05,1.756e+03,2.167e+04,2.492e+05
121.0,2.190e+05,1.304e+03,2.084e+04,2.411e+05
122.5,2.085e+05,1.042e+03,1.984e+04,2.294e+05
124.0,1.995e+05,8.741e+02,1.879e+04,2.192e+05
125.6,2.033e+05,7.247e+02,1.842e+04,2.225e+05
127.1,2.179e+05,6.171e+02,1.973e+04,2.382e+05
128.6,2.417e+05,6.573e+02,2.113e+04,2.635e+05
130.1,2.777e+05,9.316e+02,2.126e+04,2.999e+05
131.7,2.621e+05,1.415e+03,1.894e+04,2.824e+05
133.2,1.245e+05,1.090e+03,9.047e+03,1.346e+05
134.7,6.312e+04,9.092e+02,3.871e+03,6.790e+04
136.3,6.879e+04,1.137e+03,3.913e+03,7.384e+04
137.8,7.454e+04,1.493e+03,4.222e+03,8.025e+04
139.3,8.024e+04,1.951e+03,4.608e+03,8.680e+04
140.9,8.291e+04,2.474e+03,5.039e+03,9.043e+04
142.4,8.394e+04,2.970e+03,5.359e+03,9.227e+04
143.9,8.021e+04,3.223e+03,5.589e+03,8.902e+04
145.5,7.334e+04,3.396e+03,5.509e+03,8.224e+04
147.0,7.054e+04,4.270e+03,5.792e+03,8.061e+04
148.5,5.874e+04,4.596e+03,6.458e+03,6.979e+04
150.1,3.913e+04,3.472e+03,6.643e+03,4.924e+04
151.6,3.071e+04,2.409e+03,5.925e+03,3.904e+04
153.1,3.254e+04,2.067e+03,5.657e+03,4.026e+04
154.6,3.311e+04,1.768e+03,5.290e+03,4.017e+04
156.2,3.839e+04,1.966e+03,5.726e+03,4.608e+04
157.7,4.834e+04,2.303e+03,6.162e+03,5.681e+04
159.2,5.292e+04,2.399e+03,6.608e+03,6.192e+04
160.8,4.451e+04,2.232e+03,7.154e+03,5.390e+04
162.3,2.942e+04,1.980e+03,7.656e+03,3.906e+04
163.8,1.542e+04,1.757e+03,7.975e+03,2.515e+04
165.4,8.850e+03,1.665e+03,8.801e+03,1.932e+04
166.9,5.501e+03,1.493e+03,8.988e+03,1.598e+04
168.4,4.882e+03,1.300e+03,8.793e+03,1.498e+04
170.0,5.676e+03,1.252e+03,8.801e+03,1.573e+04
171.5,7.876e+03,1.233e+03,9.130e+03,1.824e+04
173.0,1.045e+04,1.293e+03,1.027e+04,2.201e+04
174.6,1.143e+04,1.441e+03,1.167e+04,2.453e+04
176.1,9.436e+03,1.583e+03,1.297e+04,2.399e+04
177.6,9.541e+03,1.589e+03,1.332e+04,2.445e+04
179.1,1.253e+04,1.898e+03,1.630e+04,3.072e+04
180.7,1.478e+04,2.359e+03,2.040e+04,3.753e+04
182.2,1.558e+04,2.743e+03,2.401e+04,4.233e+04
183.7,1.524e+04,3.477e+03,2.998e+04,4.869e+04
185.3,1.387e+04,4.517e+03,3.753e+04,5.592e+04
186.8,1.255e+04,5.950e+03,4.918e+04,6.768e+04
188.3,1.130e+04,7.521e+03,6.207e+04,8.089e+04
189.9,9.915e+03,9.324e+03,7.714e+04,9.638e+04
191.4,8.743e+03,1.159e+04,9.620e+04,1.165e+05
192.9,7.221e+03,1.220e+04,1.030e+05,1.225e+05
194.5,5.791e+03,1.187e+04,1.025e+05,1.201e+05
196.0,5.108e+03,1.023e+04,9.195e+04,1.073e+05
197.5,5.239e+03,8.976e+03,8.316e+04,9.738e+04
199.0,5.655e+03,7.323e+03,7.019e+04,8.316e+04
