freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.923e+01,5.020e+02,5.400e+02,1.111e+03
1.5,6.642e+01,3.192e+02,3.403e+02,7.259e+02
3.1,3.684e+01,4.954e+01,5.592e+01,1.423e+02
4.6,4.717e+01,5.094e+01,3.516e+02,4.498e+02
6.1,5.375e+01,6.346e+01,1.217e+03,1.334e+03
7.7,5.377e+01,9.418e+01,2.031e+03,2.179e+03
9.2,5.678e+01,1.404e+02,2.933e+03,3.131e+03
10.7,6.109e+01,1.978e+02,4.076e+03,4.334e+03
12.2,6.682e+01,3.074e+02,5.331e+03,5.705e+03
13.8,7.860e+01,5.317e+02,6.663e+03,7.273e+03
15.3,6.948e+01,9.992e+02,8.237e+03,9.306e+03
16.8,6.103e+01,2.026e+03,1.037e+04,1.246e+04
18.4,7.549e+01,4.016e+03,1.241e+04,1.650e+04
19.9,7.389e+01,7.966e+03,1.435e+04,2.239e+04
21.4,7.527e+01,1.745e+04,1.603e+04,3.355e+04
23.0,1.983e+02,4.067e+04,1.663e+04,5.750e+04
24.5,9.754e+02,1.410e+05,1.695e+04,1.590e+05
26.0,4.996e+03,4.421e+05,2.169e+04,4.688e+05
27.6,9.802e+03,5.976e+05,2.757e+04,6.349e+05
29.1,1.014e+04,5.148e+05,4.063e+04,5.656e+05
30.6,9.047e+03,3.992e+05,6.080e+04,4.691e+05
32.1,8.707e+03,3.038e+05,7.787e+04,3.903e+05
33.7,9.253e+03,2.437e+05,9.141e+04,3.444e+05
35.2,1.084e+04,2.319e+05,1.171e+05,3.598e+05
36.7,1.419e+04,2.608e+05,1.650e+05,4.399e+05
38.3,2.180e+04,3.041e+05,2.326e+05,5.585e+05
39.8,4.125e+04,3.712e+05,3.322e+05,7.446e+05
41.3,3.265e+04,2.522e+05,2.488e+05,5.336e+05
42.9,5.107e+03,1.265e+05,1.436e+05,2.752e+05
44.4,2.824e+03,1.458e+05,1.879e+05,3.365e+05
45.9,5.974e+03,2.057e+05,2.919e+05,5.036e+05
47.5,1.124e+04,2.812e+05,4.330e+05,7.254e+05
49.0,2.586e+04,3.987e+05,6.629e+05,1.087e+06
50.5,6.575e+04,5.323e+05,9.451e+05,1.543e+06
52.1,1.142e+05,5.126e+05,9.766e+05,1.603e+06
53.6,1.940e+05,5.538e+05,1.141e+06,1.889e+06
55.1,2.372e+05,6.471e+05,1.417e+06,2.302e+06
56.6,2.105e+05,6.772e+05,1.536e+06,2.423e+06
58.2,1.568e+05,6.343e+05,1.467e+06,2.258e+06
59.7,1.042e+05,5.727e+05,1.342e+06,2.019e+06
61.2,6.230e+04,5.129e+05,1.222e+06,1.797e+06
62.8,2.823e+04,4.033e+05,9.863e+05,1.418e+06
64.3,9.516e+03,2.971e+05,7.424e+05,1.049e+06
65.8,3.541e+03,2.273e+05,5.770e+05,8.079e+05
67.4,4.054e+03,1.777e+05,4.580e+05,6.397e+05
68.9,7.963e+03,1.374e+05,3.585e+05,5.039e+05
70.4,1.130e+04,1.038e+05,2.718e+05,3.869e+05
72.0,1.369e+04,7.779e+04,2.027e+05,2.942e+05
73.5,1.491e+04,5.783e+04,1.497e+05,2.224e+05
75.0,1.441e+04,4.290e+04,1.101e+05,1.674e+05
76.5,1.214e+04,3.209e+04,8.093e+04,1.252e+05
78.1,9.621e+03,2.418e+04,5.978e+04,9.358e+04
79.6,8.231e+03,1.877e+04,4.482e+04,7.182e+04
81.1,9.165e+03,1.546e+04,3.680e+04,6.143e+04
82.7,9.411e+03,1.294e+04,3.120e+04,5.356e+04
84.2,8.567e+03,1.047e+04,2.521e+04,4.424e+04
85.7,8.110e+03,9.097e+03,2.107e+04,3.828e+04
87.3,7.104e+03,8.357e+03,1.817e+04,3.363e+04
88.8,5.814e+03,7.454e+03,1.432e+04,2.759e+04
90.3,4.252e+03,6.953e+03,1.011e+04,2.131e+04
91.9,2.974e+03,7.387e+03,7.501e+03,1.786e+04
93.4,2.683e+03,8.233e+03,9.995e+03,2.091e+04
94.9,3.389e+03,7.655e+03,2.643e+04,3.747e+04
96.4,3.776e+03,4.842e+03,4.601e+04,5.463e+04
98.0,2.857e+03,2.645e+03,4.741e+04,5.291e+04
99.5,2.773e+03,2.570e+03,3.909e+04,4.443e+04
101.0,9.379e+03,3.443e+03,3.199e+04,4.481e+04
102.6,1.842e+04,4.770e+03,2.696e+04,5.015e+04
104.1,1.838e+04,4.195e+03,2.115e+04,4.372e+04
105.6,2.672e+04,4.427e+03,1.752e+04,4.867e+04
107.2,7.574e+04,1.221e+04,1.698e+04,1.049e+05
108.7,2.131e+05,3.523e+04,1.900e+04,2.673e+05
110.2,1.827e+05,2.422e+04,1.640e+04,2.234e+05
111.8,1.027e+05,5.493e+03,1.256e+04,1.208e+05
113.3,1.322e+05,2.507e+03,1.134e+04,1.460e+05
114.8,1.702e+05,2.163e+03,1.322e+04,1.856e+05
116.4,1.990e+05,2.214e+03,1.580e+04,2.171e+05
117.9,2.383e+05,2.043e+03,1.899e+04,2.593e+05
119.4,2.390e+05,1.851e+03,2.118e+04,2.620e+05
120.9,2.240e+05,1.645e+03,2.118e+04,2.468e+05
122.5,2.132e+05,1.459e+03,2.034e+04,2.350e+05
124.0,2.095e+05,1.334e+03,1.909e+04,2.299e+05
125.5,2.148e+05,1.273e+03,1.934e+04,2.354e+05
127.1,2.389e+05,1.386e+03,2.163e+04,2.619e+05
128.6,2.827e+05,1.735e+03,2.207e+04,3.065e+05
130.1,3.400e+05,2.300e+03,2.129e+04,3.636e+05
131.7,3.565e+05,3.222e+03,2.043e+04,3.801e+05
133.2,1.867e+05,2.658e+03,1.262e+04,2.019e+05
134.7,5.395e+04,1.453e+03,4.622e+03,6.002e+04
136.3,4.112e+04,1.132e+03,3.534e+03,4.578e+04
137.8,3.468e+04,1.042e+03,3.546e+03,3.927e+04
139.3,3.046e+04,1.065e+03,4.024e+03,3.555e+04
140.8,2.623e+04,1.105e+03,4.715e+03,3.205e+04
142.4,2.374e+04,1.107e+03,5.417e+03,3.027e+04
143.9,2.357e+04,1.147e+03,6.082e+03,3.080e+04
145.4,2.494e+04,1.174e+03,6.566e+03,3.268e+04
147.0,2.373e+04,1.234e+03,6.798e+03,3.177e+04
148.5,1.511e+04,1.313e+03,6.927e+03,2.335e+04
150.0,7.242e+03,1.225e+03,6.948e+03,1.541e+04
151.6,4.612e+03,1.085e+03,6.857e+03,1.255e+04
153.1,7.323e+03,9.542e+02,6.318e+03,1.459e+04
154.6,8.910e+03,1.066e+03,5.967e+03,1.594e+04
156.2,1.146e+04,1.171e+03,5.898e+03,1.853e+04
157.7,1.859e+04,1.151e+03,5.637e+03,2.538e+04
159.2,2.863e+04,1.002e+03,4.374e+03,3.401e+04
160.7,3.921e+04,8.709e+02,3.342e+03,4.342e+04
162.3,4.259e+04,1.279e+03,3.368e+03,4.723e+04
163.8,3.560e+04,1.767e+03,3.584e+03,4.095e+04
165.3,2.652e+04,1.837e+03,3.785e+03,3.214e+04
166.9,2.047e+04,1.428e+03,3.643e+03,2.554e+04
168.4,1.566e+04,1.185e+03,4.046e+03,2.089e+04
169.9,1.163e+04,1.271e+03,5.526e+03,1.843e+04
171.5,8.334e+03,1.411e+03,7.803e+03,1.755e+04
173.0,6.852e+03,1.893e+03,1.113e+04,1.987e+04
174.5,6.832e+03,2.407e+03,1.425e+04,2.349e+04
176.1,5.905e+03,2.520e+03,1.676e+04,2.518e+04
177.6,3.117e+03,2.480e+03,1.975e+04,2.535e+04
179.1,2.705e+03,2.711e+03,2.447e+04,2.989e+04
180.7,3.432e+03,3.308e+03,2.949e+04,3.623e+04
182.2,4.081e+03,3.520e+03,3.381e+04,4.142e+04
